Athlete,Country,Gold,Silver,Bronze,Total,year
Sue Gossick,United States,1,0,0,1,1968
Pokey Watson,United States,1,0,0,1,1968
Carl Robie,United States,1,0,0,1,1968
Bernie Wrightson,United States,1,0,0,1,1968
Zac Zorn,United States,1,0,0,1,1968
Lyudmila Buldakova,Russian Federation,1,0,0,1,1968
Vera Galushka-Duyunova,Soviet Union,1,0,0,1,1968
Valentina Kamenyok-Vinogradova,Russian Federation,1,0,0,1,1968
Vera Lantratova,Azerbaijan,1,0,0,1,1968
Galina Leontyeva,Russian Federation,1,0,0,1,1968
Lyudmila Mikhaylovskaya,Russian Federation,1,0,0,1,1968
Tatyana Ponyayeva-Tretyakova,Russian Federation,1,0,0,1,1968
Inna Ryskal,Azerbaijan,1,0,0,1,1968
Roza Salikhova,Russian Federation,1,0,0,1,1968
Tatyana Sarycheva,Russian Federation,1,0,0,1,1968
Nina Smoleyeva,Kazakhstan,1,0,0,1,1968
Oļegs Antropovs,Latvia,1,0,0,1,1968
Vladimir Belyayev,Soviet Union,1,0,0,1,1968
Ivans Bugajenkovs,Latvia,1,0,0,1,1968
Vladimir Ivanov,Soviet Union,1,0,0,1,1968
Valery Kravchenko,Kazakhstan,1,0,0,1,1968
Yevgeny Lapinsky,Soviet Union,1,0,0,1,1968
Vasilijus Matuševas,Lithuania,1,0,0,1,1968
Viktor Mikhalchuk,Soviet Union,1,0,0,1,1968
Georgy Mondzolevsky,Russian Federation,1,0,0,1,1968
Yury Poyarkov,Soviet Union,1,0,0,1,1968
Eduard Sibiryakov,Russian Federation,1,0,0,1,1968
Boris Tereshchuk,Soviet Union,1,0,0,1,1968
Ozren Bonačić,Croatia,1,0,0,1,1968
Dejan Dabović,Montenegro,1,0,0,1,1968
Zdravko Hebel,Croatia,1,0,0,1,1968
Zoran Janković,Serbia,1,0,0,1,1968
Ronald Lopatny,Croatia,1,0,0,1,1968
Uroš Marović,Serbia,1,0,0,1,1968
Đorđe Perišić,Montenegro,1,0,0,1,1968
Miroslav Poljak,Croatia,1,0,0,1,1968
Mirko Sandić,Serbia,1,0,0,1,1968
Karlo Stipanić,Croatia,1,0,0,1,1968
Ivo Trumbić,Croatia,1,0,0,1,1968
Kaarlo Kangasniemi,Finland,1,0,0,1,1968
Mohammad Nassiri,Islamic Republic of Iran,1,0,0,1,1968
Yoshinobu Miyake,Japan,1,0,0,1,1968
Waldemar Baszanowski,Poland,1,0,0,1,1968
Viktor Kurentsov,Russian Federation,1,0,0,1,1968
Boris Selitsky,Russian Federation,1,0,0,1,1968
Leonid Zhabotinsky,Soviet Union,1,0,0,1,1968
Petar Kirov,Bulgaria,1,0,0,1,1968
Boyan Radev,Bulgaria,1,0,0,1,1968
Lothar Metz,East Germany,1,0,0,1,1968
Rudolf Vesper,East Germany,1,0,0,1,1968
István Kozma,Hungary,1,0,0,1,1968
János Varga,Hungary,1,0,0,1,1968
Abdullah Movahed,Islamic Republic of Iran,1,0,0,1,1968
Masaaki Kaneko,Japan,1,0,0,1,1968
Shigeo Nakata,Japan,1,0,0,1,1968
Munji Munemura,Japan,1,0,0,1,1968
Yojiro Uetake,Japan,1,0,0,1,1968
Mahmut Atalay,Turkey,1,0,0,1,1968
Ahmet Ayık,Turkey,1,0,0,1,1968
Boris Gurevich,Soviet Union,1,0,0,1,1968
Aliaksandr Miadved,Belarus,1,0,0,1,1968
Roman Rurua,Georgia,1,0,0,1,1968
Peter Barrett,United States,1,0,0,1,1968
Buddy Friedrichs,United States,1,0,0,1,1968
Barton Jahncke,United States,1,0,0,1,1968
Iain MacDonald-Smith,Great Britain,1,0,0,1,1968
Valentin Mankin,Soviet Union,1,0,0,1,1968
Lowell North,United States,1,0,0,1,1968
Rodney Pattisson,Great Britain,1,0,0,1,1968
Gerry Schreck,United States,1,0,0,1,1968
Jörgen Sundelin,Sweden,1,0,0,1,1968
Peter Sundelin,Sweden,1,0,0,1,1968
Ulf Sundelin,Sweden,1,0,0,1,1968
Maureen Caird,Australia,1,0,0,1,1968
Ralph Doubell,Australia,1,0,0,1,1968
Colette Besson,France,1,0,0,1,1968
Dave Hemery,Great Britain,1,0,0,1,1968
Margitta Helmbold-Gummel,East Germany,1,0,0,1,1968
Christoph Höhne,East Germany,1,0,0,1,1968
Ingrid Mickler-Becker,Germany,1,0,0,1,1968
Angéla Németh-Ránky,Hungary,1,0,0,1,1968
Gyula Zsivótzky,Hungary,1,0,0,1,1968
Amos Biwott,Kenya,1,0,0,1,1968
Lia Manoliu,Romania,1,0,0,1,1968
Viorica Viscopoleanu,Romania,1,0,0,1,1968
Miloslava Hübnerová-Rezková,Czech Republic,1,0,0,1,1968
Vladimir Golubnichy,Soviet Union,1,0,0,1,1968
Jānis Lūsis,Latvia,1,0,0,1,1968
Viktor Saneyev,Georgia,1,0,0,1,1968
Margaret Bailes,United States,1,0,0,1,1968
Madeline Manning-Jackson,United States,1,0,0,1,1968
Mildrette Netter,United States,1,0,0,1,1968
Bob Beamon,United States,1,0,0,1,1968
Willie Davenport,United States,1,0,0,1,1968
Dick Fosbury,United States,1,0,0,1,1968
Randy Matson,United States,1,0,0,1,1968
Vince Matthews,United States,1,0,0,1,1968
Al Oerter,United States,1,0,0,1,1968
Mel Pender,United States,1,0,0,1,1968
Bob Seagren,United States,1,0,0,1,1968
Ronnie Ray Smith,United States,1,0,0,1,1968
Tommie Smith,United States,1,0,0,1,1968
Bill Toomey,United States,1,0,0,1,1968
Elaine Tanner,Canada,0,2,1,3,1968
Vladimir Kosinsky,Russian Federation,0,2,1,3,1968
Grigory Kriss,Soviet Union,0,2,0,2,1968
Daniel Robin,France,0,2,0,2,1968
Leonid Ilyichov,Russian Federation,0,1,2,3,1968
Csaba Giczy,Hungary,0,1,1,2,1968
István Tímár,Hungary,0,1,1,2,1968
Michael Page,United States,0,1,1,2,1968
Gösta Pettersson,Sweden,0,1,1,2,1968
Ildikó Rejtő-Ujlaky-Sági,Hungary,0,1,1,2,1968
Karin Janz,East Germany,0,1,1,2,1968
Erika Zuchold,East Germany,0,1,1,2,1968
Sergey Diomidov,Soviet Union,0,1,1,2,1968
Viktor Klimenko,Russian Federation,0,1,1,2,1968
Pavel Lednyov,Russian Federation,0,1,1,2,1968
Greg Rogers,Australia,0,1,1,2,1968
Bob Windle,Australia,0,1,1,2,1968
Galina Prozumenshchikova-Stepanova,Soviet Union,0,1,1,2,1968
Semyon Belits-Geyman,Russian Federation,0,1,1,2,1968
Georgijs Kuļikovs,Latvia,0,1,1,2,1968
Gerhard Hennige,West Germany,0,1,1,2,1968
Joseph Bessala,Cameroon,0,1,0,1,1968
Rolando Garbey,Cuba,0,1,0,1,1968
Enrique Regüeiferos,Cuba,0,1,0,1,1968
Dragutin Čermak,Serbia,0,1,0,1,1968
Ji Yong-Ju,Republic of Korea,0,1,0,1,1968
Zoran Maroević,Yugoslavia,0,1,0,1,1968
Nikola Plećaš,Croatia,0,1,0,1,1968
Krešimir Ćosić,Croatia,0,1,0,1,1968
Vladimir Cvetković,Serbia,0,1,0,1,1968
Ivo Daneu,Slovenia,0,1,0,1,1968
Radivoj Korać,Serbia,0,1,0,1,1968
Trajko Rajković,Serbia,0,1,0,1,1968
Dragoslav Ražnatović,Serbia,0,1,0,1,1968
Petar Skansi,Croatia,0,1,0,1,1968
Damir Šolman,Croatia,0,1,0,1,1968
Aljoša Žorga,Slovenia,0,1,0,1,1968
Józef Grudzień,Poland,0,1,0,1,1968
Artur Olech,Poland,0,1,0,1,1968
Ion Monea,Romania,0,1,0,1,1968
Eridadi Mukwanga,Uganda,0,1,0,1,1968
Aleksey Kiselyov,Russian Federation,0,1,0,1,1968
Jonas Čepulis,Lithuania,0,1,0,1,1968
Al Robinson,United States,0,1,0,1,1968
Renate Breuer,West Germany,0,1,0,1,1968
Detlef Lewe,Germany,0,1,0,1,1968
Anna Pfeffer,Hungary,0,1,0,1,1968
Katalin Sági-Rozsnyói,Hungary,0,1,0,1,1968
Gyula Petrikovics,Hungary,0,1,0,1,1968
Tamás Wichmann,Hungary,0,1,0,1,1968
Anton Calenic,Romania,0,1,0,1,1968
Dimitrie Ivanov,Romania,0,1,0,1,1968
Haralambie Ivanov,Romania,0,1,0,1,1968
Mihai Țurcaș,Romania,0,1,0,1,1968
Marion Coakes,Great Britain,0,1,0,1,1968
Janou Lefèbvre,France,0,1,0,1,1968
Yelena Petushkova,Russian Federation,0,1,0,1,1968
Kevin Freeman,United States,0,1,0,1,1968
Pierre Jonquères d'Oriola,France,0,1,0,1,1968
Ivan Kalita,Russian Federation,0,1,0,1,1968
J. Michael Plumb,United States,0,1,0,1,1968
Marcel Rozier,France,0,1,0,1,1968
Jimmy Wofford,United States,0,1,0,1,1968
Erik Pettersson,Sweden,0,1,0,1,1968
Sture Pettersson,Sweden,0,1,0,1,1968
Tomas Pettersson,Sweden,0,1,0,1,1968
Niels Fredborg,Denmark,0,1,0,1,1968
Udo Hempel,West Germany,0,1,0,1,1968
Karl-Heinz Henrichs,Germany,0,1,0,1,1968
Jan Jansen,Netherlands,0,1,0,1,1968
Jürgen Kissner,West Germany,0,1,0,1,1968
Karl Link,Germany,0,1,0,1,1968
Leijn Loevesijn,Netherlands,0,1,0,1,1968
Leif Mortensen,Denmark,0,1,0,1,1968
Rainer Podlesch,West Germany,0,1,0,1,1968
Giordano Turrini,Italy,0,1,0,1,1968
Paul Dearing,Australia,0,1,0,1,1968
Ray Evans,Australia,0,1,0,1,1968
Brian Glencross,Australia,0,1,0,1,1968
Robert Haigh,Australia,0,1,0,1,1968
Don Martin,Australia,0,1,0,1,1968
James Mason,Australia,0,1,0,1,1968
Patrick Nilan,Australia,0,1,0,1,1968
Eric Pearce,Australia,0,1,0,1,1968
Gordon Pearce,Australia,0,1,0,1,1968
Julian Pearce,Australia,0,1,0,1,1968
Desmond Piper,Australia,0,1,0,1,1968
Fred Quine,Australia,0,1,0,1,1968
Ron Riley,Australia,0,1,0,1,1968
Don Smart,Australia,0,1,0,1,1968
Ildikó Farkasinszky-Bóbis,Hungary,0,1,0,1,1968
Lídia Dömölky-Sákovics,Hungary,0,1,0,1,1968
Mária Gulácsy,Hungary,0,1,0,1,1968
Paula Marosi,Hungary,0,1,0,1,1968
Pilar Roldán,Mexico,0,1,0,1,1968
Jenő Kamuti,Hungary,0,1,0,1,1968
Wladimiro Calarese,Italy,0,1,0,1,1968
Pierluigi Chicca,Italy,0,1,0,1,1968
Michele Maffei,Italy,0,1,0,1,1968
Rolando Rigoli,Italy,0,1,0,1,1968
Cesare Salvadori,Italy,0,1,0,1,1968
Viktor Modzalevsky,Russian Federation,0,1,0,1,1968
Aleksey Nikanchikov,Belarus,0,1,0,1,1968
Viktor Putyatin,Soviet Union,0,1,0,1,1968
Yury Sisikin,Russian Federation,0,1,0,1,1968
Yury Sharov,Russian Federation,0,1,0,1,1968
Yury Smolyakov,Belarus,0,1,0,1,1968
Vasily Stankovich,Soviet Union,0,1,0,1,1968
German Sveshnikov,Russian Federation,0,1,0,1,1968
Iosif Vitebsky,Soviet Union,0,1,0,1,1968
Georgi Khristakiev,Bulgaria,0,1,0,1,1968
Atanas Mikhaylov,Bulgaria,0,1,0,1,1968
Kiril Khristov,Bulgaria,0,1,0,1,1968
Yancho Dimitrov,Bulgaria,0,1,0,1,1968
Tsvetan Veselinov,Bulgaria,0,1,0,1,1968
Asparukh Donev,Bulgaria,0,1,0,1,1968
Milko Gaydarski,Bulgaria,0,1,0,1,1968
Ivaylo Georgiev,Bulgaria,0,1,0,1,1968
Atanas Gerov,Bulgaria,0,1,0,1,1968
Mikhail Gyonin,Bulgaria,0,1,0,1,1968
Georgi Ivanov,Bulgaria,0,1,0,1,1968
Kiril Ivkov,Bulgaria,0,1,0,1,1968
Evgeni Yanchovski,Bulgaria,0,1,0,1,1968
Petar Zhekov,Bulgaria,0,1,0,1,1968
Stoyan Yordanov,Bulgaria,0,1,0,1,1968
Todor Nikolov,Bulgaria,0,1,0,1,1968
Georgi Vasilev,Bulgaria,0,1,0,1,1968
Ivan Zafirov,Bulgaria,0,1,0,1,1968
Marianna Némethová-Krajčírová,Czechoslovakia,0,1,0,1,1968
Hana Lišková,Czech Republic,0,1,0,1,1968
Jána Kubičková-Posnerová,Czechoslovakia,0,1,0,1,1968
Bohumila Řimnáčová,Czech Republic,0,1,0,1,1968
Miroslava Skleničková,Czech Republic,0,1,0,1,1968
Olli Laiho,Finland,0,1,0,1,1968
Valery Ilyinykh,Russian Federation,0,1,0,1,1968
Valery Karasyov,Russian Federation,0,1,0,1,1968
Viktor Lisitsky,Russian Federation,0,1,0,1,1968
Boris Onishchenko,Soviet Union,0,1,0,1,1968
Stasys Šaparnis,Lithuania,0,1,0,1,1968
Peter Dickson,Australia,0,1,0,1,1968
David Douglas,Australia,0,1,0,1,1968
Alf Duval,Australia,0,1,0,1,1968
Joe Fazio,Australia,0,1,0,1,1968
Alan Grover,Australia,0,1,0,1,1968
Michael Morgan,Australia,0,1,0,1,1968
Gary Pearce,Australia,0,1,0,1,1968
JR Ranch,Australia,0,1,0,1,1968
Bob Shirlaw,Australia,0,1,0,1,1968
Manfred Gelpke,East Germany,0,1,0,1,1968
Roland Göhler,East Germany,0,1,0,1,1968
Klaus Jacob,East Germany,0,1,0,1,1968
Peter Kremtz,East Germany,0,1,0,1,1968
Dieter Semetzky,East Germany,0,1,0,1,1968
Jochen Meißner,West Germany,0,1,0,1,1968
József Csermely,Hungary,0,1,0,1,1968
Antal Melis,Hungary,0,1,0,1,1968
Zoltán Melis,Hungary,0,1,0,1,1968
György Sarlós,Hungary,0,1,0,1,1968
Harry Droog,Netherlands,0,1,0,1,1968
Rody Rijnders,Netherlands,0,1,0,1,1968
Herman Suselbeek,Netherlands,0,1,0,1,1968
Leendert van Dis,Netherlands,0,1,0,1,1968
Hadriaan van Nes,Netherlands,0,1,0,1,1968
Larry Hough,United States,0,1,0,1,1968
Tony Johnson,United States,0,1,0,1,1968
Heinz Mertel,West Germany,0,1,0,1,1968
László Hammerl,Hungary,0,1,0,1,1968
Romano Garagnani,Italy,0,1,0,1,1968
Marcel Roșca,Romania,0,1,0,1,1968
Valentin Kornev,Russian Federation,0,1,0,1,1968
Tom Garrigus,United States,0,1,0,1,1968
John Writer,United States,0,1,0,1,1968
Judy Playfair,Australia,0,1,0,1,1968
Jenny Steinbeck,Australia,0,1,0,1,1968
Lynne Watson,Australia,0,1,0,1,1968
Graham White,Australia,0,1,0,1,1968
Ralph Hutton,Canada,0,1,0,1,1968
Martyn Woodroffe,Great Britain,0,1,0,1,1968
Martina Grunert,East Germany,0,1,0,1,1968
Roswitha Krause,East Germany,0,1,0,1,1968
Helga Lindner,East Germany,0,1,0,1,1968
Uta Schmuck,East Germany,0,1,0,1,1968
Gabriele Wetzko,East Germany,0,1,0,1,1968
Horst-Günter Gregor,East Germany,0,1,0,1,1968
Egon Henninger,East Germany,0,1,0,1,1968
Frank Wiegand,East Germany,0,1,0,1,1968
Álvaro Gaxiola,Mexico,0,1,0,1,1968
Tamara Fedosova-Pogozheva-Safonova,Russian Federation,0,1,0,1,1968
Nataliya Kuznetsova-Lobanova,Russian Federation,0,1,0,1,1968
Viktor Mazanov,Russian Federation,0,1,0,1,1968
Pam Kruse,United States,0,1,0,1,1968
Lynn Vidali,United States,0,1,0,1,1968
Greg Buckingham,United States,0,1,0,1,1968
Gary Hall,United States,0,1,0,1,1968
Mitch Ivey,United States,0,1,0,1,1968
John Kinsella,United States,0,1,0,1,1968
Sachiko Fukunaka,Japan,0,1,0,1,1968
Keiko Hama,Japan,0,1,0,1,1968
Setsuko Inoue,Japan,0,1,0,1,1968
Toyoko Iwahara,Japan,0,1,0,1,1968
Yukiyo Kojima,Japan,0,1,0,1,1968
Sumie Oinuma,Japan,0,1,0,1,1968
Kunie Shishikura,Japan,0,1,0,1,1968
Suzue Takayama,Japan,0,1,0,1,1968
Setsuko Yoshida,Japan,0,1,0,1,1968
Kenji Kimura,Japan,0,1,0,1,1968
Isao Koizumi,Japan,0,1,0,1,1968
Masayuki Minami,Japan,0,1,0,1,1968
Yasuaki Mitsumori,Japan,0,1,0,1,1968
Jungo Morita,Japan,0,1,0,1,1968
Katsutoshi Nekoda,Japan,0,1,0,1,1968
Seiji Oko,Japan,0,1,0,1,1968
Tetsuo Sato,Japan,0,1,0,1,1968
Kenji Shimaoka,Japan,0,1,0,1,1968
Mamoru Shiragami,Japan,0,1,0,1,1968
Tadayoshi Yokota,Japan,0,1,0,1,1968
Aleksey Barkalov,Soviet Union,0,1,0,1,1968
Oleg Bovin,Russian Federation,0,1,0,1,1968
Aleksandr Dolgushin,Russian Federation,0,1,0,1,1968
Yury Grigorovsky,Russian Federation,0,1,0,1,1968
Boris Grishin,Russian Federation,0,1,0,1,1968
Vadim Gulyayev,Russian Federation,0,1,0,1,1968
Leonid Osipov,Russian Federation,0,1,0,1,1968
Vladimir Semyonov,Russian Federation,0,1,0,1,1968
Aleksandr Shidlovsky,Russian Federation,0,1,0,1,1968
Vyacheslav Skok,Russian Federation,0,1,0,1,1968
Givi Chikvanaia,Georgia,0,1,0,1,1968
Serge Reding,Belgium,0,1,0,1,1968
Imre Földi,Hungary,0,1,0,1,1968
Parviz Jalayer,Islamic Republic of Iran,0,1,0,1,1968
Masashi Ohuchi,Japan,0,1,0,1,1968
Vladimir Belyayev,Soviet Union,0,1,0,1,1968
Dito Shanidze,Georgia,0,1,0,1,1968
Jaan Talts,Estonia,0,1,0,1,1968
Osman Duraliev,Bulgaria,0,1,0,1,1968
Enyu Todorov,Bulgaria,0,1,0,1,1968
Enyu Valchev,Bulgaria,0,1,0,1,1968
Hideo Fujimoto,Japan,0,1,0,1,1968
Jigjidiin Mönkhbat,Mongolia,0,1,0,1,1968
Ion Baciu,Romania,0,1,0,1,1968
Vladimir Bakulin,Kazakhstan,0,1,0,1,1968
Nikolay Yakovenko,Russian Federation,0,1,0,1,1968
Shota Lomidze,Georgia,0,1,0,1,1968
Valentin Olenik,Russian Federation,0,1,0,1,1968
Anatoly Roshchin,Russian Federation,0,1,0,1,1968
Don Behm,United States,0,1,0,1,1968
Rich Sanders,United States,0,1,0,1,1968
Stevan Horvat,Serbia,0,1,0,1,1968
Aage Birch,Denmark,0,1,0,1,1968
Bernard Dunand,Switzerland,0,1,0,1,1968
Paul Lindemark Jørgensen,Denmark,0,1,0,1,1968
Ulli Libor,West Germany,0,1,0,1,1968
"Peder Lunde, Jr.",Norway,0,1,0,1,1968
Niels Markussen,Denmark,0,1,0,1,1968
Peter Naumann,West Germany,0,1,0,1,1968
Louis Noverraz,Switzerland,0,1,0,1,1968
Hubert Raudaschl,Austria,0,1,0,1,1968
Marcel Stern,Switzerland,0,1,0,1,1968
Per Olav Wiken,Norway,0,1,0,1,1968
Raelene Boyle,Australia,0,1,0,1,1968
Pam Kilborn-Ryan,Australia,0,1,0,1,1968
Peter Norman,Australia,0,1,0,1,1968
Liese Sykora-Prokop,Austria,0,1,0,1,1968
Nélson Prudêncio,Brazil,0,1,0,1,1968
Miguelina Cobián,Cuba,0,1,0,1,1968
Marlene Elejalde,Cuba,0,1,0,1,1968
Violeta Quesada,Cuba,0,1,0,1,1968
Fulgencia Romay,Cuba,0,1,0,1,1968
Enrique Figuerola,Cuba,0,1,0,1,1968
Pablo Montes,Cuba,0,1,0,1,1968
Juan Morales,Cuba,0,1,0,1,1968
Hermes Ramírez,Cuba,0,1,0,1,1968
Jorma Kinnunen,Finland,0,1,0,1,1968
Lillian Board,Great Britain,0,1,0,1,1968
Sheila Parkin-Sherwood,Great Britain,0,1,0,1,1968
Marita Lange,East Germany,0,1,0,1,1968
Klaus Beer,East Germany,0,1,0,1,1968
Lothar Milde,East Germany,0,1,0,1,1968
Liesel Westermann,West Germany,0,1,0,1,1968
Claus Schiprowski,West Germany,0,1,0,1,1968
Hans-Joachim Walde,Germany,0,1,0,1,1968
Antal Kiss,Hungary,0,1,0,1,1968
Lennox Miller,Jamaica,0,1,0,1,1968
Kenji Kimihara,Japan,0,1,0,1,1968
Charles Asati,Kenya,0,1,0,1,1968
Naftali Bon,Kenya,0,1,0,1,1968
Wilson Kiprugut,Kenya,0,1,0,1,1968
Benjamin Kogo,Kenya,0,1,0,1,1968
Munyoro Nyamau,Kenya,0,1,0,1,1968
Daniel Rudisha,Kenya,0,1,0,1,1968
José Pedraza,Mexico,0,1,0,1,1968
Mihaela Peneș,Romania,0,1,0,1,1968
Ileana Silai,Romania,0,1,0,1,1968
Antonina Okorokova-Lazareva,Russian Federation,0,1,0,1,1968
Romuald Klim,Belarus,0,1,0,1,1968
Ed Caruthers,United States,0,1,0,1,1968
Erv Hall,United States,0,1,0,1,1968
Jim Ryun,United States,0,1,0,1,1968
George Woods,United States,0,1,0,1,1968
Tibor Pézsa,Hungary,0,0,2,2,1968
John Ferris,United States,0,0,2,2,1968
Ivan Mikhaylov,Bulgaria,0,0,1,1,1968
Georgi Stankov,Bulgaria,0,0,1,1,1968
Arto Nilsson,Finland,0,0,1,1,1968
Günther Meier,West Germany,0,0,1,1,1968
Giorgio Bambini,Italy,0,0,1,1,1968
Eiji Morioka,Japan,0,0,1,1,1968
Philip Waruinge,Kenya,0,0,1,1,1968
Jang Sun-Gil,Republic of Korea,0,0,1,1,1968
Joaquín Rocha,Mexico,0,0,1,1,1968
Agustín Zaragoza,Mexico,0,0,1,1,1968
Mario Guilloti,Argentina,0,0,1,1,1968
Vladimir Andreyev,Russian Federation,0,0,1,1,1968
Sergey Belov,Russian Federation,0,0,1,1,1968
Vadim Kapranov,Russian Federation,0,0,1,1,1968
Sergey Kovalenko,Soviet Union,0,0,1,1,1968
Anatoli Krikun,Estonia,0,0,1,1,1968
Jaak Lipso,Estonia,0,0,1,1,1968
Modestas Paulauskas,Lithuania,0,0,1,1,1968
Anatoly Polivoda,Soviet Union,0,0,1,1,1968
Zurab Sak'andelidze,Georgia,0,0,1,1,1968
Yury Selikhov,Russian Federation,0,0,1,1,1968
Priit Tomson,Estonia,0,0,1,1,1968
Gennady Volnov,Russian Federation,0,0,1,1,1968
Servilio de Oliveira,Brazil,0,0,1,1,1968
Stanisław Dragan,Poland,0,0,1,1,1968
Hubert Skrzypczak,Poland,0,0,1,1,1968
Calistrat Cuțov,Romania,0,0,1,1,1968
Leo Rwabwogo,Uganda,0,0,1,1,1968
Vladimir Musalimov,Soviet Union,0,0,1,1,1968
Johnny Baldwin,United States,0,0,1,1,1968
Al Jones,United States,0,0,1,1,1968
Harlan Marbley,United States,0,0,1,1,1968
Jim Wallington,United States,0,0,1,1,1968
Zvonko Vujin,Serbia,0,0,1,1,1968
Günther Pfaff,Austria,0,0,1,1,1968
Gerhard Seibold,Austria,0,0,1,1,1968
Erik Hansen,Denmark,0,0,1,1,1968
István Csizmadia,Hungary,0,0,1,1,1968
Imre Szöllősi,Hungary,0,0,1,1,1968
Viorica Dumitru,Romania,0,0,1,1,1968
Antonina Seredina,Russian Federation,0,0,1,1,1968
Vitaly Galkov,Russian Federation,0,0,1,1,1968
Naum Prokupets,Republic of Moldova,0,0,1,1,1968
Mikhail Zamotin,Russian Federation,0,0,1,1,1968
Marianne Gossweiler,Switzerland,0,0,1,1,1968
David Broome,Great Britain,0,0,1,1,1968
Henri Chammartin,Switzerland,0,0,1,1,1968
Brien Cobcroft,Australia,0,0,1,1,1968
Gustav Fischer,Switzerland,0,0,1,1,1968
Bill Roycroft,Australia,0,0,1,1,1968
Wayne Roycroft,Australia,0,0,1,1,1968
James Scanlon,Australia,0,0,1,1,1968
Alwin Schockemöhle,Germany,0,0,1,1,1968
Hermann Schridde,Germany,0,0,1,1,1968
Hans Günter Winkler,Germany,0,0,1,1,1968
Lorenzo Bosisio,Italy,0,0,1,1,1968
Giovanni Bramucci,Italy,0,0,1,1,1968
Cipriano Chemello,Italy,0,0,1,1,1968
Daniel Goens,Belgium,0,0,1,1,1968
Janusz Kierzkowski,Poland,0,0,1,1,1968
Xaver Kurmann,Switzerland,0,0,1,1,1968
Vittorio Marcelli,Italy,0,0,1,1,1968
Giorgio Morbiato,Italy,0,0,1,1,1968
Luigi Roncaglia,Italy,0,0,1,1,1968
Mauro Simonetti,Italy,0,0,1,1,1968
Robert Van Lancker,Belgium,0,0,1,1,1968
Rajendra Christy,India,0,0,1,1,1968
Krishnamurty Perumal,India,0,0,1,1,1968
V. J. Peter,India,0,0,1,1,1968
Inam-ur Rahman,India,0,0,1,1,1968
Munir Sait,India,0,0,1,1,1968
Ajitpal Singh,India,0,0,1,1,1968
Balbir Singh,India,0,0,1,1,1968
Balbir Singh,India,0,0,1,1,1968
Balbir Singh,India,0,0,1,1,1968
Gurbux Singh,India,0,0,1,1,1968
Harbinder Singh,India,0,0,1,1,1968
Harmik Singh,India,0,0,1,1,1968
Gogi Singh,India,0,0,1,1,1968
Jagjit Singh,India,0,0,1,1,1968
Prithipal Singh,India,0,0,1,1,1968
Tarsem Singh,India,0,0,1,1,1968
Ana Derșidan-Ene-Pascu,Romania,0,0,1,1,1968
Ileana Gyulai-Drîmbă-Jenei,Romania,0,0,1,1,1968
Ecaterina Stahl-Iencic,Romania,0,0,1,1,1968
Olga Orban-Szabo,Romania,0,0,1,1,1968
Maria Vicol,Romania,0,0,1,1,1968
Péter Bakonyi,Hungary,0,0,1,1,1968
János Kalmár,Hungary,0,0,1,1,1968
Tamás Kovács,Hungary,0,0,1,1,1968
Miklós Meszéna,Hungary,0,0,1,1,1968
Gianluigi Saccaro,Italy,0,0,1,1,1968
Bohdan Andrzejewski,Poland,0,0,1,1,1968
Kazimierz Barburski,Poland,0,0,1,1,1968
Michał Butkiewicz,Poland,0,0,1,1,1968
Egon Franke,Poland,0,0,1,1,1968
Bogdan Gonsior,Poland,0,0,1,1,1968
Adam Lisewski,Poland,0,0,1,1,1968
Henryk Nielaba,Poland,0,0,1,1,1968
Ryszard Parulski,Poland,0,0,1,1,1968
Zbigniew Skrudlik,Poland,0,0,1,1,1968
Witold Woyda,Poland,0,0,1,1,1968
Kunishige Kamamoto,Japan,0,0,1,1,1968
Mitsuo Kamata,Japan,0,0,1,1,1968
Hiroshi Katayama,Japan,0,0,1,1,1968
Yasuyuki Kuwahara,Japan,0,0,1,1,1968
Ikuo Matsumoto,Japan,0,0,1,1,1968
Masakatsu Miyamoto,Japan,0,0,1,1,1968
Teruki Miyamoto,Japan,0,0,1,1,1968
Takaji Mori,Japan,0,0,1,1,1968
Aritatsu Ogi,Japan,0,0,1,1,1968
Ryuichi Sugiyama,Japan,0,0,1,1,1968
Kiyoshi Tomizawa,Japan,0,0,1,1,1968
Masashi Watanabe,Japan,0,0,1,1,1968
Shigeo Yaegashi,Japan,0,0,1,1,1968
Yoshitada Yamaguchi,Japan,0,0,1,1,1968
Kenzo Yokoyama,Japan,0,0,1,1,1968
Eizo Yuguchi,Japan,0,0,1,1,1968
Maritta Bauerschmidt,East Germany,0,0,1,1,1968
Marianne Noack,East Germany,0,0,1,1,1968
Magdalena Schmidt,East Germany,0,0,1,1,1968
Ute Starke,East Germany,0,0,1,1,1968
Günter Beier,East Germany,0,0,1,1,1968
Matthias Brehme,East Germany,0,0,1,1,1968
Gerhard Dietrich,East Germany,0,0,1,1,1968
Siegfried Fülle,East Germany,0,0,1,1,1968
Klaus Köste,East Germany,0,0,1,1,1968
Peter Weber,East Germany,0,0,1,1,1968
Jean-Pierre Giudicelli,France,0,0,1,1,1968
Raoul Gueguen,France,0,0,1,1,1968
Lucien Guiguet,France,0,0,1,1,1968
Alberto Demiddi,Argentina,0,0,1,1,1968
Peter Fich Christiansen,Denmark,0,0,1,1,1968
Harry Jørgensen,Denmark,0,0,1,1,1968
Jørn Krab,Denmark,0,0,1,1,1968
Preben Krab,Denmark,0,0,1,1,1968
